iter	Logloss
0	0.6837186367
1	0.6751286268
2	0.6665551814
3	0.6570208299
4	0.6478301518
5	0.6412345419
6	0.6327502061
7	0.6245184278
8	0.6165950036
9	0.6088295936
10	0.6017797651
11	0.5944938049
12	0.5872842832
13	0.5796843928
14	0.5718951526
15	0.5647146234
16	0.5585146091
17	0.5522093216
18	0.5447630078
19	0.5381706402
20	0.5326584625
21	0.5261147683
22	0.5209346663
23	0.5142945381
24	0.507616728
25	0.501892976
26	0.4967759365
27	0.4920507272
28	0.4854913275
29	0.4791216812
30	0.4734470516
31	0.4687031302
32	0.4629418039
33	0.4570753567
34	0.4519109938
35	0.4469233148
36	0.4421620042
37	0.4375539595
38	0.4327956925
39	0.4276663495
40	0.423453107
41	0.4181917038
42	0.4133998599
43	0.4089978455
44	0.4050887307
45	0.4008271668
46	0.3962557264
47	0.3924889315
48	0.3880014913
49	0.3838508981
50	0.3792141286
51	0.37566927
52	0.3721689624
53	0.3685448819
54	0.3652645297
55	0.3605542278
56	0.3570994839
57	0.3538395222
58	0.3507714135
59	0.3475581956
60	0.3441881445
61	0.3410460388
62	0.3379687372
63	0.334999804
64	0.3322782806
65	0.3288780732
66	0.3259724137
67	0.3233619235
68	0.3205309341
69	0.3179290089
70	0.3154643508
71	0.3125001044
72	0.3098186461
73	0.3074411064
74	0.3050182569
75	0.3024549685
76	0.2996944508
77	0.2973701774
78	0.2949131079
79	0.2929073082
80	0.2909564562
81	0.2887716196
82	0.2866268353
83	0.2843369176
84	0.2816922418
85	0.2798228314
86	0.2781622282
87	0.2759510238
88	0.2740360616
89	0.2723422123
90	0.2703697699
91	0.2678930734
92	0.2663656848
93	0.2638677559
94	0.2613274112
95	0.2594313059
96	0.2576372006
97	0.2562129534
98	0.2547353693
99	0.2534267353
100	0.2514011197
101	0.2496222433
102	0.2480461174
103	0.246088472
104	0.2444740318
105	0.2427622872
106	0.2408497727
107	0.2394910111
108	0.2378226166
109	0.2366800356
110	0.2350162865
111	0.2335442961
112	0.2322833343
113	0.2308914438
114	0.2293918336
115	0.2277010702
116	0.2261306332
117	0.2247519835
118	0.2232829165
119	0.2220222465
120	0.2207413689
121	0.2196536168
122	0.2181943896
123	0.2165971544
124	0.2152665056
125	0.2138358887
126	0.2125621171
