iter	Passed	Remaining
0	57	57651
1	58	29208
2	59	19679
3	59	14929
4	60	12090
5	61	10178
6	62	8819
7	62	7772
8	63	6977
9	63	6335
10	64	5825
11	65	5395
12	66	5021
13	66	4708
14	67	4428
15	68	4190
16	68	3983
17	69	3803
18	70	3642
19	71	3500
20	72	3368
21	73	3245
22	73	3136
23	74	3033
24	75	2937
25	76	2864
26	77	2776
27	77	2696
28	78	2625
29	79	2581
30	80	2525
31	81	2464
32	82	2406
33	82	2353
34	83	2305
35	84	2258
36	85	2214
37	85	2169
38	86	2129
39	87	2093
40	88	2062
41	88	2028
42	89	1993
43	90	1964
44	90	1931
45	91	1900
46	92	1873
47	93	1847
48	93	1823
49	94	1797
50	95	1774
51	96	1751
52	96	1729
53	97	1706
54	98	1684
55	98	1663
56	99	1642
57	99	1622
58	100	1604
59	101	1585
60	102	1577
61	103	1562
62	103	1546
63	104	1531
64	105	1517
65	106	1504
66	106	1489
67	107	1478
68	108	1468
69	109	1453
70	110	1443
71	110	1430
72	111	1418
73	112	1405
74	113	1394
75	113	1383
76	114	1371
77	115	1360
78	115	1347
79	116	1337
80	117	1333
81	118	1322
82	119	1315
83	119	1306
84	120	1298
85	121	1293
86	122	1285
87	123	1276
88	123	1267
89	124	1263
90	125	1255
91	126	1248
92	127	1241
93	127	1233
94	128	1227
95	129	1220
96	130	1212
97	131	1206
98	131	1198
99	132	1190
100	132	1182
101	133	1174
102	133	1166
103	134	1159
104	135	1153
105	135	1146
106	136	1140
107	137	1134
108	138	1130
109	139	1125
110	139	1118
111	140	1116
112	141	1109
113	141	1103
114	142	1097
115	143	1093
116	144	1088
117	144	1083
118	145	1079
119	146	1074
120	147	1070
121	148	1069
122	149	1065
123	150	1061
124	151	1061
125	152	1058
126	153	1055
127	154	1051
128	156	1057
129	158	1057
130	158	1052
131	159	1048
132	160	1045
133	161	1041
134	161	1036
135	162	1033
136	163	1028
137	164	1025
138	164	1021
139	165	1017
140	166	1013
141	166	1008
142	167	1004
143	168	1000
144	169	996
145	169	992
146	170	989
147	171	987
148	172	984
149	173	981
150	173	977
151	174	973
152	175	970
153	175	966
154	177	966
155	178	964
156	179	961
157	179	958
158	180	956
159	181	954
160	182	951
161	183	949
162	184	946
163	184	942
164	185	939
165	186	937
166	187	935
167	188	931
168	188	928
169	189	924
170	190	921
171	191	921
172	192	918
173	193	919
174	194	918
175	195	914
176	196	914
177	197	911
178	198	908
179	198	906
180	199	903
181	200	900
182	201	899
183	202	899
184	203	896
185	204	893
186	204	890
187	205	886
188	206	885
189	206	882
190	208	881
191	208	879
192	209	876
193	210	874
194	211	872
195	212	869
196	212	866
197	213	863
198	213	860
199	214	858
200	215	855
201	215	852
202	216	850
203	217	847
204	218	845
205	218	843
206	219	840
207	220	838
208	221	838
209	222	835
210	223	835
211	224	833
212	225	832
213	226	830
214	226	828
215	227	826
216	228	825
217	229	823
218	230	821
219	231	819
220	231	817
221	232	815
222	233	813
223	234	811
224	234	809
225	235	806
226	236	805
227	237	803
228	238	801
229	238	799
230	240	799
231	241	798
232	241	796
233	242	793
234	243	792
235	244	790
236	244	788
237	245	786
238	246	784
239	246	781
240	248	783
241	249	781
242	250	780
243	251	778
244	252	776
245	252	774
246	253	772
247	254	770
248	254	768
249	255	767
250	256	765
251	257	763
252	257	761
253	258	759
254	259	758
255	260	756
256	260	754
257	262	753
258	262	751
259	263	750
260	264	749
261	265	747
262	266	746
263	266	744
264	267	742
265	268	740
266	269	738
267	269	736
268	270	735
269	271	733
270	272	732
271	273	731
272	274	729
273	274	727
274	275	726
275	275	723
276	276	722
277	277	720
278	277	718
279	278	716
280	279	714
281	280	713
282	280	711
283	282	712
284	283	710
285	284	709
286	284	707
287	285	706
288	286	704
289	287	702
290	287	701
291	288	699
292	289	697
293	289	696
294	290	694
295	291	692
296	292	691
297	292	689
298	293	687
299	293	685
300	294	683
301	295	682
302	296	681
303	296	679
304	297	678
305	298	676
306	299	674
307	299	673
308	300	672
309	301	670
310	302	669
311	302	667
312	303	666
313	304	665
314	305	663
315	305	662
316	306	660
317	307	658
318	308	657
319	308	656
320	309	655
321	310	653
322	311	652
323	312	651
324	313	650
325	313	649
326	314	647
327	315	646
328	316	644
329	316	643
330	317	641
331	318	640
332	319	639
333	319	637
334	320	635
335	321	635
336	322	634
337	323	632
338	323	631
339	324	630
340	325	628
341	325	627
342	326	625
343	327	624
344	328	623
345	329	621
346	329	620
347	330	619
348	331	618
349	332	616
350	333	615
351	333	614
352	334	613
353	335	611
354	336	610
355	337	609
356	337	608
357	338	606
358	339	605
359	339	604
360	340	603
361	341	601
362	342	600
363	342	599
364	343	597
365	344	596
366	345	595
367	346	594
368	346	593
369	347	591
370	348	590
371	348	588
372	349	587
373	350	587
374	351	585
375	352	584
376	353	583
377	354	582
378	355	581
379	355	580
380	356	579
381	357	578
382	358	577
383	358	575
384	359	574
385	361	575
386	362	573
387	362	572
388	363	570
389	364	569
390	364	568
391	365	567
392	366	565
393	367	564
394	367	563
395	368	562
396	369	561
397	370	560
398	370	558
399	371	557
400	372	556
401	373	555
402	374	554
403	374	553
404	375	551
405	376	550
406	377	550
407	378	548
408	378	547
409	379	546
410	380	545
411	380	543
412	381	542
413	382	542
414	383	540
415	384	539
416	385	538
417	386	537
418	386	536
419	387	535
420	388	533
421	389	532
422	389	531
423	390	530
424	391	529
425	392	528
426	392	527
427	393	525
428	394	524
429	394	523
430	395	522
431	395	520
432	396	519
433	397	518
434	398	517
435	398	515
436	399	514
437	400	514
438	401	513
439	402	511
440	402	510
441	403	509
442	404	508
443	405	507
444	405	505
445	406	504
446	407	503
447	408	502
448	408	501
449	409	500
450	410	499
451	411	498
452	411	497
453	412	496
454	413	495
455	414	494
456	414	492
457	415	491
458	416	490
459	417	489
460	418	489
461	419	488
462	420	487
463	420	486
464	421	485
465	422	483
466	422	482
467	423	481
468	424	480
469	425	479
470	426	478
471	426	477
472	427	476
473	428	475
474	428	473
475	429	473
476	430	471
477	431	470
478	432	469
479	432	468
480	433	467
481	434	466
482	435	465
483	436	464
484	436	463
485	437	462
486	438	461
487	438	460
488	439	459
489	440	458
490	441	457
491	441	456
492	442	455
493	443	454
494	444	453
495	445	452
496	445	451
497	446	450
498	447	449
499	448	448
500	448	447
501	449	446
502	450	445
503	451	444
504	452	443
505	452	442
506	453	441
507	454	440
508	455	439
509	456	438
510	457	437
511	458	436
512	458	435
513	459	434
514	460	433
515	461	432
516	462	431
517	462	430
518	463	429
519	464	428
520	465	427
521	466	426
522	466	425
523	467	424
524	468	423
525	469	422
526	470	422
527	471	421
528	471	419
529	472	419
530	473	418
531	473	416
532	474	415
533	475	415
534	476	413
535	476	412
536	477	411
537	478	410
538	479	409
539	479	408
540	480	407
541	481	406
542	482	405
543	482	404
544	483	403
545	484	402
546	484	401
547	485	400
548	486	399
549	486	398
550	487	397
551	489	396
552	489	395
553	490	394
554	491	394
555	492	393
556	492	392
557	493	390
558	494	389
559	494	388
560	495	387
561	496	386
562	497	385
563	497	384
564	498	384
565	499	382
566	500	381
567	500	380
568	501	379
569	502	378
570	503	378
571	504	377
572	504	376
573	505	375
574	506	374
575	506	373
576	507	372
577	508	371
578	509	370
579	510	369
580	511	368
581	511	367
582	512	366
583	513	365
584	513	364
585	515	364
586	515	363
587	516	361
588	517	361
589	518	360
590	518	359
591	519	358
592	520	357
593	521	356
594	522	355
595	523	355
596	524	354
597	526	353
598	526	352
599	527	351
600	528	350
601	529	349
602	530	348
603	530	348
604	531	347
605	532	346
606	533	345
607	533	344
608	534	343
609	535	342
610	536	341
611	537	340
612	538	339
613	538	338
614	539	337
615	540	336
616	541	335
617	542	335
618	542	334
619	543	333
620	544	332
621	545	331
622	546	330
623	547	329
624	547	328
625	548	327
626	549	326
627	549	325
628	550	324
629	551	323
630	552	322
631	553	322
632	554	321
633	554	320
634	555	319
635	556	318
636	557	317
637	558	316
638	558	315
639	559	314
640	560	313
641	561	313
